desc,joules_sum,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14
0_4_250_0x1d00_135_200000,966.3808546,9.99806630858778,1.6999826661163904,1.5452591353116347,0.9988156191426164,0.3394021699263547,0.41449531255210786,0.0030637034535396282,0.0005850336435347086,0.00012739374507117666,9.58785444582269e-05,8.432645585259523e-05,1.6188732524643704e-05,4.548613720082987e-06,2.521970849365834e-07,1.4629773123181726e-06
0_2_100_0x1d00_135_200000,1011.5714828799973,9.997734336179928,1.6251042017254527,1.545444901853198,0.9986638021398238,0.38270366744566475,0.44720863737580974,0.0026836898882536602,0.00037664346537254786,3.767452740554724e-05,2.425872235861262e-05,7.078487468705026e-06,5.866321547889813e-06,4.695513424687173e-06,4.240246416621235e-07,1.2232965374009837e-07
0_11_350_0x1d00_135_200000,966.6590749199968,9.982805308006144,1.7112306067315692,1.5560223306244882,0.9995887530765047,0.33814763742449694,0.39389261436768247,0.015094342622390138,0.002876943890407922,0.0001437015860401793,0.00011578054187161546,4.7432768314684914e-05,2.7610865934723047e-05,6.10865911577618e-06,6.578014536844717e-07,1.7103357526876076e-07
0_10_100_0x1d00_135_200000,1011.6735722800004,9.997616974432336,1.6178790410777848,1.5083344695200611,0.9992564214259924,0.38374279911497144,0.4890969620119868,0.0032785162987325235,0.000698044583792172,5.374023426823083e-05,2.8041254823148688e-05,8.87026829538137e-06,3.488536489970061e-06,2.394025557308601e-06,1.5813875198521905e-07,7.907616708152689e-08
0_1_40_0x1d00_135_200000,1078.1443163399963,9.997049649559331,1.869151177270746,1.20774845449709,0.9978829123105735,0.5156488528380573,0.40714480550023424,0.004968694344986235,0.0002831809555917601,8.970787337155537e-05,2.2985754139199572e-05,7.5483743562503806e-06,1.2479846449422017e-06,1.4666752751310865e-09,3.278972908616978e-07,4.533729118973573e-07
0_6_400_0x1d00_135_200000,943.7866544400003,10.002182453562888,1.7063558446533695,1.5441000851620117,0.99981556592904,0.3359185255935286,0.39582145317773765,0.01323394010603778,0.0020665165206098387,0.0002466337625667428,0.0001632299564822964,7.192049059190926e-05,1.1665693842047235e-05,8.04392769074988e-06,3.8132005149141926e-06,3.0826309491002455e-07
0_8_200_0x1d00_135_200000,977.9556561600002,9.996768069549614,1.660283821582965,1.5353725265775322,0.9989911048631865,0.3667103086231476,0.4372194456171065,0.00432184025121972,0.00017704623102580072,9.680591292045483e-05,3.8818366078445606e-05,1.5207269346383883e-05,2.3404003857174844e-06,1.8831557215291578e-06,4.923983751464955e-07,2.8920138832988807e-07
0_14_250_0x1d00_135_200000,966.4374691999983,9.98952150629635,1.7432440493885732,1.5216725514197673,0.991387212132516,0.3255090286486117,0.4171607689556266,0.007852494656502845,0.0029581686200803787,0.0005796604066600435,6.0786652968416306e-05,3.957200256528465e-05,8.815538831383623e-06,3.168786655779341e-06,2.0565817786057638e-06,1.5991252723884078e-07
0_4_40_0x1d00_135_200000,1064.5242627600019,9.996902947803115,1.896708505946862,1.2008769764039633,0.9967147712809198,0.5091128361227035,0.39578565537533583,0.0031834507010023144,0.0005806875749800474,8.607883195267747e-05,2.94800699185423e-05,1.1338451447938059e-05,6.252541372007756e-06,9.616488064996036e-07,5.572627204568027e-08,1.5213584943206085e-09
0_15_250_0x1d00_135_200000,991.0398090599992,9.9955618332106,1.7039589279259904,1.5546624665454851,0.998546247213736,0.33196513345091627,0.4096507210493479,0.0049433375941229886,0.00037222429929455577,0.00022339369081685555,7.13462479933952e-05,3.196369140854942e-05,6.707858338063456e-06,3.7262358557082963e-06,1.5647645296257784e-06,4.062215729142114e-07
0_5_350_0x1d00_135_200000,966.6429603600045,9.990525301302768,1.6883178757812625,1.5735590622716293,0.9992186995376382,0.33918167014446565,0.3938525503708066,0.012825677378227584,0.001955670135950619,0.00032786451229673555,0.00016521749963893697,4.0237612092013726e-05,2.1182938475251736e-05,1.3988487316743885e-07,3.083450364945353e-06,5.767179500637196e-06
0_10_250_0x1d00_135_200000,966.3808546,9.997588816714584,1.7427774909292806,1.515344848204307,0.9978457066439932,0.32544202243370124,0.4158677802455905,0.0037677211855044923,0.0008562164511234003,0.0003246854600747779,8.976436612424e-05,7.233327080697475e-05,1.2027481450565814e-05,8.288509673761826e-06,2.0988830217112206e-06,1.9922076540038035e-07
0_5_30_0x1d00_135_200000,1081.87447074,9.99360735697735,2.0783918464140867,1.0604563760681909,0.9875027276589549,0.5219372338772421,0.34411332472264916,0.013042294482015718,0.0008723947877910115,4.4953598120004434e-05,1.730514587147858e-05,1.1552858165473054e-05,1.6313360042696848e-06,7.16778478073377e-07,2.852920610237652e-07,3.022095034349282e-12
0_7_350_0x1d00_135_200000,966.6429603600045,9.985894665902517,1.7080805115484032,1.5636815001588746,0.9994631960964513,0.33324533620567315,0.39479524923097276,0.012297965564852171,0.0023068424907289635,0.0001057486829931345,6.154347593594964e-05,3.385417373168681e-05,1.997352853054222e-05,1.0791594585172378e-05,2.663733685822041e-06,1.5761206390447e-07
0_10_200_0x1d00_135_200000,977.9556561600002,9.996316303269687,1.6710210981426346,1.5172134700040334,0.9990603008885286,0.36644949412354777,0.44444040271412666,0.0049295922076191155,0.00035661507010460454,0.00010956400401478598,6.978347274586911e-05,2.456478973596231e-05,4.06601475563545e-06,3.6069980631417093e-06,3.4775517444255926e-07,7.905452357170023e-07
0_6_200_0x1d00_135_200000,977.9556561600002,9.996894356206717,1.6649392438328467,1.5286795135159559,0.999360519681693,0.3545462155675781,0.45148777731567774,0.003533084262936288,0.00027428922584926826,0.00021546665029545972,5.013394933445606e-05,1.3926832783613676e-05,2.9442795994534084e-06,1.6135359467079531e-06,7.405226727013474e-07,1.7462010382965912e-07
0_13_300_0x1d00_135_200000,986.7530766800046,9.983053738327484,1.6900726023617914,1.5661685629622526,0.9977665830164147,0.34632305871146835,0.39752310822562686,0.018135978144605477,0.0007454728467562093,0.00012141760479698439,4.499093725620265e-05,2.2300273038439297e-05,1.2169683688729543e-05,6.763833486682768e-06,6.632088183468394e-07,2.589862522102804e-06
0_13_2_0x1d00_135_200000,1095.3076656199992,9.998232948792658,1.945144073913453,1.1334229526476924,0.9975671159597546,0.5293519782126954,0.39364764736282165,0.002421382935047126,0.00011107830522034814,6.695627707557112e-05,1.9294018742637496e-05,9.661779538484154e-06,4.380201239563081e-06,3.1403098325832285e-07,2.155601278516709e-07,2.949218348868646e-12
0_2_2_0x1d00_135_200000,1079.290845919997,9.998987209963968,1.9232596082987814,1.119234488765962,0.9972056728314457,0.5623536643969061,0.3972902740809603,0.0013154604598043127,0.0002702020182718942,6.283316164002074e-05,9.151429884432651e-06,6.8228235932346345e-06,3.972037273988981e-06,4.5202598202382147e-07,1.877051677253215e-07,3.7076706038825764e-13
0_13_40_0x1d00_135_200000,1078.1443163399963,9.99541634103382,1.890095867858509,1.1948860044520808,0.9987106060329183,0.5046253319991516,0.41108729642079467,0.00462408413386411,0.00040827142902633446,0.00010125579042004894,3.47385778273468e-05,8.320785029144178e-06,9.489165294804325e-07,6.342982423015145e-07,2.9643788454468493e-07,1.8339104026331385e-09
0_3_10_0x1d00_135_200000,1098.9022807000001,9.998313800120947,2.4317310760674173,0.8556542463931812,0.9992172014384456,0.5489717284436723,0.16339143697754124,0.00237577924747947,0.00023187842254834064,9.02077719043729e-05,1.5427449956976894e-05,4.026151580401437e-06,2.848065801132068e-06,1.9760569068044263e-07,1.4584378056821783e-07,5.425735510271176e-14
0_11_2_0x1d00_135_200000,1095.2423223000005,9.997206257638485,1.8924232262710554,1.1213745625374831,0.992917297456928,0.585502702742239,0.4067036107968511,0.003667619621809843,0.00011514529143956845,5.8075578891331385e-05,1.6806076857773653e-05,7.676962418556034e-06,6.461991216932105e-06,4.149246321859734e-07,1.4210704326266088e-07,2.6587499415219675e-12
0_15_200_0x1d00_135_200000,1000.82735942,9.99820859839748,1.6825886814235615,1.536151885235625,0.9997735989627626,0.3661881970227956,0.414704581250563,0.0020192364882959603,0.00017978404202250112,0.00010939056559687924,4.4115737625938804e-05,2.3160219478941977e-05,5.052641028335833e-06,1.4328619720929674e-07,1.0149083980656181e-06,2.5598185573383015e-06
0_7_100_0x1d00_135_200000,1044.4687467199983,9.999914343345152,1.6088194240545204,1.5377637573958394,0.9993165946217669,0.3916097325143793,0.4614830078916946,0.0007679018021547513,0.00018900189509828312,9.747499716061486e-05,2.678309764663628e-05,7.222458886682205e-06,2.7526161291476523e-06,1.3392799522724156e-07,9.064347206241182e-07,9.629468560209677e-07
0_13_10_0x1d00_135_200000,1098.9022807000001,9.996559241271928,2.4395056989690156,0.8444451683130964,0.9997680558660161,0.5538604681313618,0.16157057144710246,0.003586336077589866,0.00048119388188030537,0.00017720988355765093,2.9444246557029423e-05,1.4224089806714397e-05,2.1006742051583333e-06,1.9288801446307667e-07,9.425977953220388e-08,7.580193841207743e-14
0_11_400_0x1d00_135_200000,968.4633257599999,9.949969624315543,1.7159821646426392,1.5336758716437233,0.9987482676008507,0.33671345049993,0.4091965594924264,0.05394292871798023,0.0012544811501352029,0.0002756901259139832,0.00017968366247964523,3.801594126355678e-05,1.188723741246306e-05,9.611161109596345e-06,1.6161187623441657e-06,1.4768983819298525e-07
