desc,avg,std,min,5th,10th,50th,90th,95th,99th,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13
0_50_0x1100_135_400000,88.8,21.0,41.1,58.6,63.4,87.6,113.6,122.6,151.2,9.942374640931448,1.668307542364319,1.4645957906263167,0.5134623949776053,0.35334639284375047,0.04620153180720557,0.010621820199040174,0.0009571659321047882,0.0001267928894325422,3.833002519017447e-06,1.995375891606801e-06,7.201973888137035e-08,2.703063807003792e-08,4.940407927148828e-15
0_50_0x1100_135_400000,88.8,21.0,41.1,58.6,63.4,87.6,113.6,122.6,151.2,9.958494906540341,1.6649000969340135,1.4975325719143717,0.4749825842443175,0.3622244928228567,0.033480045459379236,0.0073230011850150215,0.0008488302006187617,0.00020760906939272582,5.330080143143199e-06,4.6904611289070016e-07,3.364623779642862e-08,2.8857212660449932e-08,5.9926293324780786e-15
0_40_0x1100_135_400000,84.3,21.7,41.1,56.9,61.0,81.9,107.2,117.9,152.1,9.991964756359337,1.7228134529595465,1.4164981024965622,0.508585879587086,0.35186678869416055,0.005485852023106175,0.0016627479967083506,0.0010066351757208897,0.00011222367709436587,3.1541674920902086e-06,1.916137729061806e-07,1.393154850069478e-07,7.593391839434886e-08,1.172199004727385e-14
0_200_0x1100_135_400000,175.5,57.8,45.3,83.6,97.8,176.7,250.6,268.1,298.6,9.990902608744367,1.6802113108750705,1.571158841842619,0.3327462393732824,0.41491617382856616,0.007264340163401177,0.0024760189864284697,0.00023645290370086987,6.001156395078453e-05,2.666780090464192e-05,6.543727606730884e-07,4.933258032877057e-07,1.6056619954470597e-07,2.5652941522031434e-08
0_350_0x1100_135_400000,266.2,99.7,45.3,105.7,130.8,268.4,396.4,425.3,477.2,9.979981753791861,1.707578514187991,1.5820049601371597,0.2913345265722213,0.40836068511415113,0.03006746334806341,0.0005233563573689577,9.264276371679376e-05,2.478346388229597e-05,2.4225476585594874e-05,5.142600346459893e-06,1.767209142026078e-06,1.644906243510117e-07,1.448688743154701e-08
0_20_0x1100_135_400000,78.7,24.7,41.1,55.6,57.9,73.5,104.0,118.8,172.0,9.99554749572049,1.981073210937884,1.122390595661853,0.5533824468474612,0.3430592051293142,0.0030959876439098813,0.0006182621900144934,0.0004332043171813124,0.00039314994522246077,5.6864825238343934e-06,4.627996715534088e-07,2.753245940192562e-07,1.699987756890926e-08,8.269690804431505e-15
0_30_0x1100_135_400000,79.9,21.6,41.1,55.8,58.8,76.7,103.4,115.3,153.7,9.973844334582513,1.7738470747977129,1.3174654182866588,0.5450981312527752,0.3629036247932947,0.022918383287679228,0.0034404845456441195,0.0004095280125837303,7.005063345873494e-05,1.9535227556708273e-06,8.573702870269381e-07,1.15010878185406e-07,4.390376998664514e-08,3.634451142933979e-16
0_300_0x1100_135_400000,247.5,86.2,45.3,109.1,131.0,248.9,360.4,385.9,432.4,9.90595591174744,1.7078778550028524,1.6020782617087153,0.30083189195360976,0.3884510323451041,0.09074025654499945,0.002690945212134006,0.0012793517599972485,5.578371403543255e-05,3.119722318505382e-05,4.891014300830559e-06,2.3071139498881246e-06,2.739714122556827e-07,4.068827714053187e-08
0_10_0x1100_135_400000,77.7,28.9,41.1,54.5,56.1,70.3,106.5,126.6,190.3,9.99033802326035,2.2222682233030078,0.9469504032022062,0.5397069648077494,0.2909997340297661,0.006764169998944845,0.002176856598662992,0.0005753476541656194,0.00021316429634085762,5.777917394500386e-06,8.511182063158053e-07,4.5730094654865536e-07,2.6512263374331915e-08,8.499440629967999e-15
0_2_0x1100_135_400000,75.6,33.4,41.1,50.4,52.1,66.8,106.0,127.1,209.1,9.978080391989952,1.8820143899200348,1.2186453572250582,0.5373045176995261,0.36163799488153137,0.02032532541841818,0.001114643772656753,0.0007227248610041794,0.00014441932627461533,9.784676356645678e-06,2.5655582866218084e-07,1.6749845978772037e-07,2.617489747302164e-08,9.995189814833905e-16
0_350_0x1100_135_400000,266.2,99.7,45.3,105.7,130.8,268.4,396.4,425.3,477.2,9.958126237652575,1.7267943870224358,1.5790010378845563,0.3007649352832571,0.3933528729148369,0.041212198743256656,0.0004977884380523354,0.00020247885838641213,3.7829441445554095e-05,6.864550670012396e-06,2.3515960474032307e-06,9.243583139974392e-07,8.819317368109297e-08,5.062998593465573e-09
0_10_0x1100_135_400000,77.7,28.9,41.1,54.5,56.1,70.3,106.5,126.6,190.3,9.992644998523524,2.166611146020461,0.9656369075873739,0.5773896138355544,0.2897847544643795,0.0068324683376883655,0.0007058557773635247,0.00023983897457689347,0.0001436943833072031,9.362683282574367e-06,1.0279988505714336e-06,3.1408211660953456e-07,1.7331512254701437e-08,9.450326750233037e-15
0_2_0x1100_135_400000,75.6,33.4,41.1,50.4,52.1,66.8,106.0,127.1,209.1,9.988192379158704,1.9093988777924347,1.1782177678254095,0.5466094292414351,0.3652237321417161,0.009952755978577473,0.0019520701721231052,0.0003261983674335134,0.00011861902826100233,7.698032535840937e-06,3.476045482286598e-07,4.6583568377095386e-08,7.807325762972236e-08,1.3975546113426621e-15
0_350_0x1100_135_400000,266.2,99.7,45.3,105.7,130.8,268.4,396.4,425.3,477.2,9.957453089716774,1.7290574025388972,1.5943825423038362,0.2964507022339979,0.37345542490568023,0.04727325359868913,0.0015413064672917202,0.0002901394910359293,6.325027682116891e-05,2.9764856609177236e-05,2.564807257577576e-06,4.195591612488449e-07,9.533750993926565e-08,4.3906447668282965e-08
0_100_0x1100_135_400000,117.5,31.2,45.3,68.7,76.5,117.5,155.6,166.8,188.0,9.997652529272036,1.6577151699409203,1.5365644348535468,0.34635230783738474,0.458856773004157,0.0021853626657159864,0.0005088992059993336,9.966609544271705e-05,4.798293472289796e-05,1.646602583642419e-05,3.0889723666793005e-07,5.9308503415415916e-08,3.9892257801548506e-08,6.623699210450246e-11
0_50_0x1100_135_400000,88.8,21.0,41.1,58.6,63.4,87.6,113.6,122.6,151.2,9.981238157621746,1.6756288910123451,1.4857794539391007,0.4846790781601886,0.3537825531117695,0.014317543141146015,0.003383958706183096,0.0009236175459432935,0.00025706187349192636,9.123468558012465e-06,4.223468658480642e-07,1.2374223074988945e-07,1.5330432638509375e-08,6.84266055907469e-15
0_300_0x1100_135_400000,247.5,86.2,45.3,109.1,131.0,248.9,360.4,385.9,432.4,9.988283535836953,1.7071713252441492,1.579778010281321,0.3054464407285408,0.40452310507262856,0.010325646523181353,0.0039998044639130365,0.00034949815084807286,5.72582155362441e-05,4.895492167160437e-05,1.3794627487422964e-05,2.1358152595719746e-06,1.0275278554172075e-07,3.873657205464063e-07
0_300_0x1100_135_400000,247.5,86.2,45.3,109.1,131.0,248.9,360.4,385.9,432.4,9.821170584059011,1.7252685313410168,1.594591240220874,0.40049041966056437,0.27796142081324704,0.1789223588665506,0.0011397134991502273,0.0002300233438163321,0.0001771556711024197,3.1193733409385785e-05,1.3698876269452405e-05,2.948259780865517e-06,6.90523773039066e-07,2.1131443021256224e-08
0_2_0x1100_135_400000,75.6,33.4,41.1,50.4,52.1,66.8,106.0,127.1,209.1,9.975253150344486,1.9065313771344277,1.204072247327303,0.5278538730601057,0.360568860776109,0.024205246934223813,0.00116582842475086,0.0002062329727081523,0.00013840406946245173,3.7143877583816034e-06,8.477250846052804e-07,1.5924622832001924e-07,5.759734247254274e-08,1.0901971852004366e-14
0_300_0x1100_135_400000,247.5,86.2,45.3,109.1,131.0,248.9,360.4,385.9,432.4,9.930539490980228,1.7007238314490054,1.6093483900637418,0.3910365751677495,0.2979525350478871,0.0688248272041546,0.0012986020568197748,0.00018683983735035586,4.195876960923285e-05,3.4325400579508746e-05,8.2506667511791e-06,6.187771640694811e-08,1.7989539717349996e-06,2.5125244411589996e-06
0_250_0x1100_135_400000,206.8,72.1,49.8,91.7,109.0,207.6,301.0,322.5,359.9,9.983297096897783,1.7114387634340609,1.6020975808317444,0.29159918923464395,0.39285934566437913,0.017279670512813823,0.0007420337818150433,0.0005619881939345227,9.810469088813129e-05,1.568215663056738e-05,5.653773347819425e-06,4.635319716339107e-06,2.257761267790447e-07,2.9732118544328888e-08
0_40_0x1100_135_400000,84.3,21.7,41.1,56.9,61.0,81.9,107.2,117.9,152.1,9.984362758445332,1.729264544076398,1.4318995804641634,0.34102572374355516,0.4971203685689056,0.010738253949954753,0.004979715806869453,0.0004212608116926365,0.00018095569517641045,5.872355711808781e-06,6.25878460264957e-07,2.5111041766865173e-07,8.909336583240281e-08,5.9135727730525105e-15
0_200_0x1100_135_400000,175.5,57.8,45.3,83.6,97.8,176.7,250.6,268.1,298.6,9.97636011476319,1.7035540371402023,1.5623899862208759,0.4358635691446488,0.2966422334941874,0.022612950639472256,0.0022626902633432868,0.00012575459249061728,0.00017480994188626627,1.2145182003065196e-05,1.1929619457579528e-06,3.92513976944691e-07,1.1253143425963425e-07,1.0610329808093049e-08
0_10_0x1100_135_400000,77.7,28.9,41.1,54.5,56.1,70.3,106.5,126.6,190.3,9.996217074845015,2.212397719441,0.9612102333561996,0.5406376435452411,0.2856441055010353,0.002374455468373472,0.0009798363164303992,0.00045040992936902974,7.869100730467239e-05,7.753264107670673e-06,1.434281241369683e-06,6.267076506217678e-07,1.6337021674098624e-08,7.382460249977793e-15
0_200_0x1100_135_400000,175.5,57.8,45.3,83.6,97.8,176.7,250.6,268.1,298.6,9.98246139356172,1.703137590122157,1.5632383114397779,0.30761006648772765,0.42579053321599936,0.01219766443234342,0.00525201371429183,0.0002485509587250492,5.4139196029687774e-05,6.887800441969474e-06,2.028622564961656e-06,4.951686723803243e-07,3.0379072714339213e-07,2.148881751078917e-08
0_250_0x1100_135_400000,206.8,72.1,49.8,91.7,109.0,207.6,301.0,322.5,359.9,9.966540878805446,1.7022565783264458,1.584277663966623,0.3077722675620866,0.405117550895085,0.031432343684281626,0.0016959430320371398,0.0005323435202862458,0.0003046966861477931,6.353816860519915e-05,3.782414025025308e-06,2.3060597515977635e-06,8.283164509926286e-08,2.4047549221516596e-08
0_10_0x1100_135_400000,77.7,28.9,41.1,54.5,56.1,70.3,106.5,126.6,190.3,9.9936588646637,2.20417461701123,0.952592162261875,0.5558528622910578,0.28723082721841287,0.00437474138293218,0.0018930862378131093,0.00014230674169349392,6.666401132587634e-05,1.2349222065297022e-05,1.1233514010834388e-06,3.5616925385989385e-07,3.9437244664371076e-08,9.30258166643176e-16
0_10_0x1100_135_400000,77.7,28.9,41.1,54.5,56.1,70.3,106.5,126.6,190.3,9.99514192265704,2.1928650970309698,0.9510276669241667,0.5622807413014729,0.2931548535697882,0.0044429985063229325,0.0007415310553032267,0.0002809913697060209,5.866295627209314e-05,4.4125539255809294e-06,6.884642758575582e-07,3.8813263220707874e-07,4.547810037738653e-08,8.441891131607669e-16
0_200_0x1100_135_400000,175.5,57.8,45.3,83.6,97.8,176.7,250.6,268.1,298.6,9.993206276068207,1.695166512157332,1.5730371648862218,0.3116793384590853,0.4165249490185001,0.009411999937908554,0.0005055793211346541,0.00032650120857800744,0.00011377573857145317,2.292735952716086e-05,3.084905796218069e-06,1.716428795221571e-06,1.5899959441058436e-07,1.5510739866547665e-08
0_40_0x1100_135_400000,84.3,21.7,41.1,56.9,61.0,81.9,107.2,117.9,152.1,9.968948067566599,1.693473916689523,1.4267882660779094,0.5013474787044508,0.3782513869268997,0.026974795345763566,0.003538160306597705,0.0005771976380074216,9.547067622536525e-05,4.464172672047078e-06,5.561365435493866e-07,1.7619431818386662e-07,6.356448621755715e-08,6.538773025420739e-15
0_100_0x1100_135_400000,117.5,31.2,45.3,68.7,76.5,117.5,155.6,166.8,188.0,9.996698129063608,1.667219358159398,1.53346003384876,0.3398156490417097,0.45939361545859136,0.002811934775182319,0.0003563159466044314,0.00019064606392816863,3.731327858198667e-05,1.3453486416833584e-05,3.1418722600732392e-06,3.871033977418e-07,2.1854268786875825e-08,4.730545112379664e-11
0_10_0x1100_135_400000,77.7,28.9,41.1,54.5,56.1,70.3,106.5,126.6,190.3,9.996241519837472,2.217178473187099,0.9469825677864294,0.552175632806606,0.28347343497231686,0.0022340637332773023,0.0013927002312650086,0.0002527390704062807,6.217439251962067e-05,5.546459829276444e-06,9.70278321584193e-07,1.4620496206092242e-07,3.103949194354725e-08,2.9495742368799233e-15
0_100_0x1100_135_400000,117.5,31.2,45.3,68.7,76.5,117.5,155.6,166.8,188.0,9.997785685250514,1.6584726798526541,1.557792762263632,0.3422876965669309,0.4410687562703307,0.002142386552855112,0.00023381740175028903,0.00017469011072907456,3.1640545785270835e-05,9.568418118135569e-06,1.6977415579838618e-07,1.0164015175820264e-07,4.529063755229765e-08,6.175879477819714e-11
0_40_0x1100_135_400000,84.3,21.7,41.1,56.9,61.0,81.9,107.2,117.9,152.1,9.958533511056714,1.685301173894949,1.4341453348271727,0.5135462503664142,0.3669901028625227,0.03766719965956219,0.0029160432527518512,0.0007629067510844479,0.00013387682811305345,2.902346901540639e-06,5.235025691373596e-07,1.6074646104730981e-07,1.3904781349451533e-08,6.960492331262424e-15
0_350_0x1100_135_400000,266.2,99.7,45.3,105.7,130.8,268.4,396.4,425.3,477.2,9.964582208808562,1.6934611171912861,1.6094917618660736,0.30627592115068836,0.3903135765392959,0.03534675017973502,0.0003292255261618374,0.00014075762070061594,3.743136919406295e-05,1.1097361341146097e-05,9.176398317820803e-06,8.97325821528738e-07,6.349730560560972e-08,1.5165523952708932e-08
0_100_0x1100_135_400000,117.5,31.2,45.3,68.7,76.5,117.5,155.6,166.8,188.0,9.99341563718842,1.6544976699450287,1.5291533921183391,0.34845069750302904,0.4677783387214887,0.005959603134005689,0.000527542060935156,0.0001691821142736641,4.425232012167522e-05,3.005898035326373e-06,5.704068727145927e-07,8.442054700879551e-08,2.4144850349346464e-08,2.4058958937532217e-11
0_100_0x1100_135_400000,117.5,31.2,45.3,68.7,76.5,117.5,155.6,166.8,188.0,9.995664397236471,1.682374309341882,1.5005553347675085,0.32362398750687227,0.4928582179307597,0.0041451073402129605,0.0006143641711772684,9.811612298601858e-05,6.105480242671531e-05,4.518850761356122e-06,3.7700822646618103e-07,1.6752472492462772e-07,4.737358070367185e-08,2.2416432692749262e-11
0_350_0x1100_135_400000,266.2,99.7,45.3,105.7,130.8,268.4,396.4,425.3,477.2,9.958898421445912,1.711760921965354,1.5973609990535547,0.3029137030709848,0.3784786442632784,0.04890700423615843,0.0012900712104895074,0.00022625348512776575,0.00010917476841370034,5.196925064457799e-05,1.9660668291748013e-06,7.664934808513246e-07,2.702512744136305e-08,7.766464189742637e-08
0_350_0x1100_135_400000,266.2,99.7,45.3,105.7,130.8,268.4,396.4,425.3,477.2,9.94119131756334,1.7419581308567347,1.5690148602593417,0.2945526020430539,0.394484834869954,0.05811147010002172,0.0003626267718228273,0.0002628880239280447,4.159102714227054e-05,1.3194907719029208e-05,5.532272186956325e-06,7.955082691673723e-07,1.5003296936641054e-07,5.76351171605537e-09
0_30_0x1100_135_400000,79.9,21.6,41.1,55.8,58.8,76.7,103.4,115.3,153.7,9.978396772277685,1.84345419712674,1.273705842361196,0.5392443729695928,0.3429822347353955,0.019001496378032896,0.0028178645841455347,0.0003108837019082437,8.370810166279115e-05,2.0778103292602012e-06,2.3133229313702023e-07,1.3299782935212552e-07,1.8562317847904176e-07,1.2749919094988816e-14
0_30_0x1100_135_400000,79.9,21.6,41.1,55.8,58.8,76.7,103.4,115.3,153.7,9.9881020261723,1.7656902898840732,1.3376324843447127,0.5452262353987322,0.3511689832430428,0.009833213886967526,0.0015081572747037914,0.0006904709026178768,0.00014195377840560853,5.7783430309941954e-06,2.4051423292247084e-07,1.420516576644505e-07,2.420552880843516e-08,4.844151759845904e-15
0_200_0x1100_135_400000,175.5,57.8,45.3,83.6,97.8,176.7,250.6,268.1,298.6,9.980410006649766,1.6994361273780056,1.5706013375861838,0.3115873901173265,0.4180250508306931,0.01817133205965156,0.0013166178013120102,0.0003631410455803442,6.549287678782216e-05,1.960923806070061e-05,2.9838051976176016e-06,1.734753544512714e-08,1.788656158118876e-07,7.143982627367424e-07
0_400_0x1100_135_400000,305.0,113.5,49.8,121.0,151.5,308.4,450.8,479.9,533.4,9.94336144966899,1.819362965286855,1.5295773384502196,0.3672842217099567,0.2837003979141299,0.05412755157341559,0.002164653958823607,0.00031088335012242397,8.732605661556655e-05,1.5683650908486465e-05,6.161106215094025e-06,1.0546737474844023e-06,2.0840291603305232e-08,2.9175971915235423e-07
